Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
235. Wifelike,2022,105,R,4.9,,"3,585"
236. Harry Potter and the Goblet of Fire,2005,157,PG-13,7.7,81,"665,952"
237. Don't Worry Darling,2022,123,R,6.3,48,"134,795"
238. The Whale,2022,117,R,7.7,60,"191,874"
239. The Matrix,1999,136,R,8.7,73,"2,010,925"
240. Dashing Through the Snow,2023,92,PG,5.5,,"2,175"
241. Mean Girls,2004,97,PG-13,7.1,66,"417,136"
242. Heat,1995,170,R,8.3,76,"702,013"
243. The Little Mermaid,2023,135,PG,7.2,59,"145,770"
244. Little Women,2019,135,PG,7.8,91,"233,315"
245. Gone Girl,2014,149,R,8.1,79,"1,043,175"
246. The Goonies,1985,114,PG,7.7,62,"292,539"
247. American Beauty,1999,122,R,8.3,84,"1,194,686"
248. Schindler's List,1993,195,R,9.0,95,"1,421,526"
249. The Departed,2006,151,R,8.5,85,"1,394,844"
250. Blockers,2018,102,R,6.2,69,"83,947"
251. Shazam! Fury of the Gods,2023,130,PG-13,6.0,47,"114,799"
252. The Wicker Man,1973,88,R,7.5,87,"89,800"
"253. Crazy, Stupid, Love.",2011,118,PG-13,7.4,68,"551,441"
254. Last Call for Istanbul,2023,91,TV-MA,5.4,,"6,536"
255. No Time to Die,2021,163,PG-13,7.3,68,"434,127"
256. The Silence of the Lambs,1991,118,R,8.6,86,"1,513,520"
257. Alien,1979,117,R,8.5,89,"930,327"
258. The Color Purple,1985,154,PG-13,7.7,78,"93,434"
259. The Big Lebowski,1998,117,R,8.1,71,"846,435"
260. Fifty Shades of Grey,2015,125,R,4.2,46,"331,485"
261. Next Goal Wins,2023,104,PG-13,6.5,44,"3,041"
262. Good Boys,2019,90,R,6.7,,"79,674"
263. The Father,2020,97,PG-13,8.2,88,"182,441"
264. Blade Runner,1982,117,R,8.1,84,"808,157"
265. Forrest Gump,1994,142,PG-13,8.8,82,"2,204,233"
266. Beau Is Afraid,2023,179,R,6.8,63,"47,883"
267. Infinity Pool,2023,117,R,6.0,72,"48,222"
268. Eight Crazy Nights,2002,76,PG-13,5.3,23,"24,804"
269. Scrapper,2023,84,Not Rated,7.0,74,"3,007"
270. Civil War,R,N/A,,,,N/A
271. The Notebook,2004,123,PG-13,7.8,53,"604,811"
272. Chicken Run: Dawn of the Nugget,2023,101,PG,7.4,62,353
273. The Abyss,1989,140,PG-13,7.5,62,"187,854"
274. Promising Young Woman,2020,113,R,7.5,72,"200,371"
275. Hypnotic,2023,93,R,5.5,53,"26,933"
276. Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,99,PG,7.2,74,"51,530"
277. Man of Steel,2013,143,PG-13,7.1,55,"801,643"
278. The Night Before,2015,101,R,6.4,58,"80,414"
279. Kong: Skull Island,2017,118,PG-13,6.7,62,"339,140"
280. Good Will Hunting,1997,126,R,8.3,70,"1,033,958"
281. BlackBerry,2023,120,R,7.4,78,"28,985"
282. Nosferatu,2024,N/A,,,,N/A
283. Spirited Away,2001,125,PG,8.6,96,"822,567"
284. Tombstone,1993,130,R,7.8,50,"161,656"
285. Saving Private Ryan,1998,169,R,8.6,91,"1,465,804"
286. John Wick,2014,101,R,7.4,68,"721,982"
287. Meg 2: The Trench,2023,116,PG-13,5.0,40,"66,662"
288. How to Have Sex,2023,91,,7.1,80,"2,018"
289. Fred Claus,2007,116,PG,5.7,42,"46,604"
290. Mad Max,1979,88,R,6.8,73,"218,025"
291. The Prestige,2006,130,PG-13,8.5,66,"1,411,613"
292. Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,8.1,85,"927,579"
293. No Country for Old Men,2007,122,R,8.2,92,"1,035,194"
