Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
Top Gun: Maverick,2022,130,PG-13,8.3,78,"645,812"
She's the Man,2006,105,PG-13,6.4,45,"171,797"
Babylon,2022,189,R,7.1,61,"154,370"
Inglourious Basterds,2009,153,R,8.4,69,"1,544,708"
Fair Play,2023,113,R,6.4,73,"29,194"
Nyad,2023,121,PG-13,7.1,64,"12,714"
Joker: Folie à Deux,2024,N/A,,,,N/A
How the Gringo Stole Christmas,2023,81,PG-13,3.2,,284
Home Alone 3,1997,102,PG,4.6,,"124,033"
Good Burger 2,2023,90,TV-PG,5.4,48,"2,207"
Death on the Nile,2022,127,PG-13,6.3,52,"179,464"
Raiders of the Lost Ark,1981,115,PG,8.4,86,"1,020,992"
The Gentlemen,2019,113,R,7.8,51,"377,100"
Pearl,2022,103,R,7.0,76,"82,502"
Please Don't Destroy: The Treasure of Foggy Mountain,2023,92,R,6.1,49,"4,041"
Kingdom of the Planet of the Apes,2024,N/A,,,,N/A
Django Unchained,2012,165,R,8.5,81,"1,655,628"
Naga,2023,111,TV-MA,4.9,,"3,627"
Mission Raniganj,2023,134,,7.4,,"14,489"
Lucy,2014,89,R,6.4,62,"524,831"
Bad Santa,2003,92,R,7.1,70,"151,381"
Whiplash,2014,106,R,8.5,89,"950,889"
The Flash,2023,144,PG-13,6.7,55,"189,800"
Midsommar,2019,148,R,7.1,72,"381,165"
Once Upon a Time in Hollywood,2019,161,R,7.6,83,"813,404"
American Fiction,2023,117,R,7.8,80,873
Uncharted,2022,116,PG-13,6.3,45,"245,573"
Elemental,2023,101,PG,7.0,58,"101,543"
Eyes Wide Shut,1999,159,TV-MA,7.5,69,"366,124"
Fast X,2023,141,PG-13,5.8,56,"104,689"
Fallen Leaves,2023,81,,7.6,87,"4,993"
